product_name,price,article,parsed_at
"Пирожки от бабы Зины с картошкой и грибами Корзина, 70г",163.0,00002713,2025-05-29T15:01:07.209771
"Ватрушка из дрожжевого теста с творогом Корзина, 75г",209.0,00002651,2025-05-29T15:01:07.420506
"Ватрушка Венгерская с творогом Корзина, 60г",219.0,00054296,2025-05-29T15:01:07.640808
"Сосиска Аппетитная Корзина, 90г",314.0,00053660,2025-05-29T15:01:07.885622
"Булочка Улитка со штрейзелем Корзина, 60г",151.0,00053871,2025-05-29T15:01:08.110103
"Сосиска на закуску Корзина, 95г",336.0,00061380,2025-05-29T15:01:08.341424
"Пирожки от Бабы Зины с повидлом Корзина, 55г",104.0,00003324,2025-05-29T15:01:08.550231
"Булочка Косичка с изюмом Корзина, 100г",179.0,00040026,2025-05-29T15:01:08.800088
"Пирожки от Бабы Зины с капустой Корзина, 70г",152.0,00024268,2025-05-29T15:01:09.015959
"Булочка яблочный конвертик Корзина, 90 гр",189.0,00089411,2025-05-29T15:01:09.269530
"Вертута с яблоком Корзина, 105г",221.0,00094416,2025-05-29T15:01:09.493982
"Пирожки от Бабы Зины с яблоком Корзина, 70г",104.0,00024274,2025-05-29T15:01:09.710658
"Сочень с творогом Корзина, 90г",314.0,00002729,2025-05-29T15:01:09.964965
"Пирожок духовой капуста яйцо Корзина, 70г",152.0,00073552,2025-05-29T15:01:10.197107
"Пампушки с чесноком Корзина, вес",1700.0,00002527,2025-05-29T15:01:10.405527
"Булочка Крученка с творогом Корзина, 55г",171.0,00047379,2025-05-29T15:01:10.615259
"Тенерицца Корзина, 65г",236.0,00075982,2025-05-29T15:01:10.972103
"Бабулина плюшка Корзина, 100г",162.0,00062711,2025-05-29T15:01:11.191128
"Рулетики с корицей слоенно-дрожжевые Корзина, 100г",247.0,00002563,2025-05-29T15:01:11.430254
"Набор булочек для гамбургера Корзина, 225 гр",289.0,00089754,2025-05-29T15:01:11.668107
"Мини булочка К чаю Корзина, 50г",114.0,00059569,2025-05-29T15:01:11.892238
"Набор булочек для хот-дога Корзина, 210 гр",278.0,00094429,2025-05-29T15:01:12.121671
"Мини булочка с посыпкой Корзина, 50г",112.0,00045247,2025-05-29T15:01:12.374350
"Булочка корица со сливочной заливкой Корзина, 85г",209.0,00070936,2025-05-29T15:01:12.612997
"Мини плюшка Корзина, 50г",104.0,00038175,2025-05-29T15:01:12.842516
"Тесто пресное для чебуреков Корзина, вес",750.0,00018759,2025-05-29T15:01:13.234843
"Тесто пресное слоёное Корзина, вес",1550.0,00002811,2025-05-29T15:01:13.459191
"Тесто сдобное булочное п/ф Корзина, вес",890.0,00134316,2025-05-29T15:01:13.692927
"Тесто дрожжевое для жаренных изделий охлажденное Корзина, вес",850.0,00096508,2025-05-29T15:01:13.913682
"Тесто слоёное дрожжевое Корзина, вес",1490.0,00002810,2025-05-29T15:01:14.190796
"Лапша домашняя Корзина, вес",2750.0,00019500,2025-05-29T15:01:14.413675
"Шанежка с сыром Корзина, 130 гр",347.0,00099615,2025-05-29T15:01:14.806482
"Ачма Корзина, 120г",372.0,00038742,2025-05-29T15:01:15.021966
"Лепешка Алтын-Ден Корзина, 300 гр",231.0,00117038,2025-05-29T15:01:15.227566
"Лепешка Сырная Корзина, 90г",356.0,00002526,2025-05-29T15:01:15.458747
"Лепешка Казахская Корзина, 250г",247.0,00002524,2025-05-29T15:01:15.699867
"Багет Паско Чиабатта Корзина, 260 гр",268.0,00089893,2025-05-29T15:01:15.905337
"Лепешка Тургеньская Корзина, 450г",314.0,00073327,2025-05-29T15:01:16.128743
"Шанежка с картошкой Корзина, 160г",282.0,00078982,2025-05-29T15:01:16.341998
"Хлеб Бородино Корзина, 400г",341.0,00002670,2025-05-29T15:01:16.743025
"Хлеб Чесночный Корзина, 300г",312.0,00053454,2025-05-29T15:01:16.962815
"Баурсаки Корзина, вес",1490.0,00019546,2025-05-29T15:01:17.186493
"Серый хлеб Корзина, 380г",142.0,00085258,2025-05-29T15:01:17.431742
"Хлеб Гречичный мини Корзина, 30г",51.0,00072257,2025-05-29T15:01:17.656387
"Булочка льняная Корзина, 50г",79.0,00093968,2025-05-29T15:01:17.879051
"Булочка для сэндвича Корзина, 80г",100.0,00063980,2025-05-29T15:01:18.122292
"Хлеб Белый Корзина, 500г",189.0,00002654,2025-05-29T15:01:18.369329
"Набор булочек для гамбургера Корзина, 225 гр",289.0,00089754,2025-05-29T15:01:18.612553
"Хлебо-булочные изделия Походные Корзина, вес",1890.0,00103182,2025-05-29T15:01:18.842246
"Хлеб Черный заварной Корзина, 340г",260.0,00062065,2025-05-29T15:01:19.076903
"Хлеб Белый Корзина, 250г",100.0,00070456,2025-05-29T15:01:19.313781
"Батон Пеклеванчик Корзина, 280г",231.0,00054448,2025-05-29T15:01:19.567767
"Хлеб Полевой Корзина, 300 гр",188.0,00088605,2025-05-29T15:01:19.798829
"Багет Корзина, 240г",240.0,00002574,2025-05-29T15:01:20.044579
"Хлеб Луговой бездрожжевой Корзина, 340г",314.0,00122352,2025-05-29T15:01:20.283332
"Набор булочек для хот-дога Корзина, 210 гр",278.0,00094429,2025-05-29T15:01:20.527006
